t,x,y
0.0,395.67879805897724,810.7892870474058
0.03324516615564827,394.1242350901275,831.3191888975182
0.06649033231129654,390.9842315526274,871.2901482792656
0.09973549846694481,387.7061696167964,925.2859108280584
0.1329806646225931,384.67556059312807,984.1229912582945
0.16622583077824135,381.44684596818695,1042.9433561807894
0.19947099693388962,378.2873995727716,1086.2259529132812
0.23271616308953788,376.1966734162519,1110.1269799137995
0.2659613292451862,375.25262019558545,1109.2990318075128
0.29920649540083444,376.5259901107514,1081.0017004664428
0.3324516615564827,379.36287668103193,1032.605945629748
0.36569682771213097,382.3160128697838,971.0933847772926
0.39894199386777923,385.42800644311853,905.6495092675589
0.4321871600234275,388.27728682900425,843.5472317674341
0.46543232617907576,390.6964091848546,793.2569352139597
0.4986774923347241,392.145569189011,761.7302497756028
0.5319226584903723,392.6663467322859,752.1087858672889
0.5651678246460206,392.12024390276486,763.8531425957327
0.5984129908016689,390.62530946768595,796.8684664719375
0.6316581569573171,388.3909439202713,846.6756596552077
0.6649033231129654,386.0904113065628,906.2225174304042
0.6981484892686137,384.48475136828307,967.2154481986922
0.7313936554242619,382.89128742576804,1021.7027031286098
0.7646388215799103,380.306888441859,1069.5650096500326
0.7978839877355585,378.2467077005066,1096.0497540972744
0.8311291538912068,378.0249983003515,1100.0121983784056
0.864374320046855,380.69268682401946,1075.1331931981344
0.8976194862025033,384.93235669055207,1031.271952163924
0.9308646523581515,388.31399814136915,974.3581165141711
0.9641098185137998,391.036946961338,912.2312164683827
0.9973549846694482,393.27527944416147,851.6535631693542
1.0306001508250964,395.4546733985321,800.745126255227
1.0638453169807447,396.708015451855,764.7813739203823
1.097090483136393,396.81854453974336,748.7278197104093
1.1303356492920411,396.48998998524075,747.9117715758371
1.1635808154476894,394.5296938589013,777.5000654671134
1.1968259816033378,391.3923670875195,825.5826509381895
1.230071147758986,389.2970679831275,859.3837671470909
1.2633163139146342,386.26219826332766,932.4502659390023
1.2965614800702825,383.0910301266663,1002.6353072704203
1.3298066462259308,380.4215884802743,1042.0008623647625
1.3630518123815791,375.31093381885773,1081.6914217054957
1.3962969785372275,368.9872061167773,1107.0489337915928
1.4295421446928755,365.68445135012405,1114.1815382200882
1.4627873108485239,367.34704260396217,1099.9825667713312
1.4960324770041722,374.49802251292465,1055.481261112688
1.5292776431598205,381.22241252293674,997.3346456304715
1.5625228093154686,385.8272302593183,931.9831640384243
1.595767975471117,389.1119207355566,866.9507209202291
1.6290131416267652,391.6988811137839,810.8475485471621
1.6622583077824136,393.45561043115856,769.577688596753
1.695503473938062,394.3127539366957,747.2898342171083
1.72874864009371,394.16950872007135,746.344595707181
1.7619938062493583,393.71896321670545,766.8631546640933
1.7952389724050066,391.56666190660053,805.3392237453696
1.828484138560655,388.86611179079716,857.6026642246991
1.861729304716303,386.3641725782919,916.8308916635883
1.8949744708719514,384.9092353813397,977.6527180099174
1.9282196370275997,379.71189185475583,1038.4405590422068
1.961464803183248,373.75056945285377,1085.2600721968638
1.9947099693388963,368.51725059384427,1110.4829132909535
2.0279551354945444,367.3890682010297,1109.3554472821736
2.0612003016501927,372.010968305246,1077.1364443829457
2.094445467805841,379.6841094249824,1023.8730257891785
2.1276906339614894,384.67538397645103,959.7745444582927
2.1609358001171377,388.86794395827866,894.1943950818984
2.194180966272786,391.57593725627726,834.203025886965
2.227426132428434,393.34918628638997,786.6966247493685
2.2606712985840822,393.60606938816863,756.6448807435168
2.2939164647397305,393.3408730580418,747.925204657542
2.327161630895379,392.2953056926134,761.5475569578468
2.360406797051027,390.6934497974032,795.5207654237335
2.3936519632066755,388.5986963436786,845.6022957622971
2.426897129362324,386.4058670938993,906.1006329473946
2.460142295517972,384.7206416360229,969.478955120248
2.4933874616736205,379.182787958472,1033.2448447701327
2.5266326278292683,371.6321078970155,1085.2779931031719
2.5598777939849167,365.3814843755189,1113.6718766896618
2.593122960140565,363.35425625509106,1117.2998656603254
2.6263681262962133,366.2464227822552,1093.8047019706842
2.6596132924518616,374.7924685192729,1041.3815276160449
2.69285845860751,381.2547774314238,976.616957850928
2.7261036247631583,385.6515245678059,908.6960364855325
2.7593487909188066,389.4298367201676,845.8887099647213
2.792593957074455,391.64415038969287,794.3648227432836
2.825839123230103,392.6859183715899,758.8607207827802
2.859084289385751,393.1919472544333,743.2017585170847
2.8923294555413994,392.92964343160463,748.8875961106746
2.9255746216970477,391.5312586700268,774.3851602830175
2.958819787852696,389.2608552196917,816.5967506542324
2.9920649540083444,386.5440196588503,870.246064565288
3.0253101201639927,384.32748331087316,930.8278004227953
3.058555286319641,382.43448523085607,990.0365760262837
3.0918004524752893,375.4030205756218,1050.1474197403895
3.125045618630937,368.626878576462,1091.713078463837
3.1582907847865855,364.51515460676296,1109.243214701736
3.191535950942234,365.2017825323631,1102.3912593601958
3.224781117097882,371.6401076049839,1064.6473588679519
3.2580262832535305,379.651057511995,1009.4750576002414
3.291271449409179,385.5419199216396,944.9137021441259
3.324516615564827,390.02155816501715,880.128224319727
3.3577617817204755,393.34726086782416,823.137261746062
3.391006947876124,395.50097302844995,780.0430512230155
3.4242521140317717,396.508981583901,755.4979423449499
3.45749728018742,396.3335501113893,752.330820518752
3.4907424463430683,395.1299525281389,770.7687868667628
3.5239876124987166,392.7250048270631,808.0718750636995
3.557232778654365,389.56019118860456,859.8991584305602
3.5904779448100133,386.8586867375085,920.6284198250047
3.6237231109656616,384.6038936760257,981.9058082872426
3.65696827712131,375.720235637062,1051.0666189999306
3.690213443276958,366.1898874115377,1100.9972576422106
3.723458609432606,360.88609258736466,1124.608556382431
3.7567037755882544,360.0184985263893,1122.7361433592393
3.7899489417439027,364.4150226076665,1091.762057812822
3.823194107899551,374.58556012992324,1029.0057759995432
3.8564392740551994,382.34304135250204,958.0913796845595
3.8896844402108477,387.5215041922346,888.3187643607239
3.922929606366496,390.9630216196646,826.7591267476711
3.9561747725221443,393.20067509145053,779.723585133013
3.9894199386777927,394.24648678831187,750.7642950836246
4.0226651048334405,394.21830233967546,741.787582256434
4.055910270989089,393.1513535490178,752.8358552514535
4.089155437144737,391.04677259073344,782.6095872384386
4.1224006033003855,388.35884288119695,827.96392201442
4.155645769456034,385.680639471139,883.9744486146062
4.188890935611682,383.4122153766048,943.9339985807386
4.2221361017673305,376.670191614165,1012.4240347941975
4.255381267922979,368.95476601900316,1076.657241691284
4.288626434078627,362.2867502068965,1116.3598170673192
4.321871600234275,358.74725679403156,1129.634905407028
4.355116766389924,360.2614545145513,1116.8986140436289
4.388361932545572,366.88349354084517,1069.9160279514122
4.42160709870122,377.8574277695368,999.9719282435021
4.454852264856868,386.28633508506107,927.9247224747871
4.488097431012516,392.0645125009461,860.740776032161
4.5213425971681644,395.7134353757148,805.2325427015162
4.554587763323813,397.732467296606,766.7385240576402
4.587832929479461,398.2018764786807,748.1777735423782
4.621078095635109,397.3715755156649,751.7172212401498
4.654323261790758,395.40833591111397,776.4524492260695
4.687568427946406,392.493654267901,819.0669843467325
4.720813594102054,389.411126747768,874.2133386193212
4.754058760257703,386.402122377914,935.0484748336785
4.787303926413351,378.168553144077,1006.2844134346965
4.820549092568999,369.38739469403026,1072.6110120822573
4.853794258724648,361.58869452200884,1116.0007135004366
4.887039424880296,356.80399586975216,1133.9450834230129
4.920284591035944,356.70747021889093,1125.8722506108002
4.953529757191593,360.9243050452519,1087.3480492409394
4.986774923347241,371.8270457857524,1016.1281685775712
5.020020089502889,380.55827525813686,941.592558250513
5.053265255658537,386.5051222476901,872.3154932891646
5.086510421814185,390.2709875369204,813.7100365187964
5.119755587969833,392.4051457984562,771.0271147666647
5.153000754125482,393.21628993544107,747.0612456010924
5.18624592028113,392.772466474482,743.7701781910907
5.219491086436778,391.3115036492469,761.0162866685232
5.252736252592427,388.9282464216332,796.5122427927088
5.285981418748075,386.0754482219468,846.2327326862182
5.319226584903723,383.248952282003,904.4833593014307
5.352471751059372,380.7449406846972,964.0482143671705
5.38571691721502,371.71810800383236,1039.3175715000027
5.418962083370668,363.44993378719687,1096.9687542994093
5.4522072495263165,357.82434932985234,1128.9461728319172
5.485452415681965,356.4815240946925,1134.4437162940394
5.518697581837613,360.09322971768063,1112.7733159078496
5.5519427479932615,370.1751335610527,1051.9394091416116
5.58518791414891,380.7965087337643,980.1186721006876
5.618433080304558,388.80428064597226,908.3127344464681
5.651678246460206,394.1128570352254,844.2409186052794
5.684923412615854,397.37566976466087,793.7377696235432
